season,week,date,weekday,kickoff_et,away_team,home_team,away_score,home_score,home_spread,total,ats_winner,over_under,roof,division_game,stadium
2021,1,2021-09-09,Thursday,20:20,DAL,TB,29,31,-10.0,52.5,DAL,Over,outdoors,0,Raymond James Stadium
2021,1,2021-09-12,Sunday,13:00,PHI,ATL,32,6,-3.5,49.0,PHI,Under,open,0,Mercedes-Benz Stadium
2021,1,2021-09-12,Sunday,13:00,PIT,BUF,23,16,-6.5,48.0,PIT,Under,outdoors,0,New Era Field
2021,1,2021-09-12,Sunday,13:00,NYJ,CAR,14,19,-3.5,44.5,CAR,Under,outdoors,0,Bank of America Stadium
2021,1,2021-09-12,Sunday,13:00,MIN,CIN,24,27,3.0,47.0,CIN,Over,outdoors,0,Paul Brown Stadium
2021,1,2021-09-12,Sunday,13:00,SF,DET,41,33,9.5,46.0,DET,Over,dome,0,Ford Field
2021,1,2021-09-12,Sunday,13:00,JAX,HOU,21,37,3.5,45.5,HOU,Over,closed,1,NRG Stadium
2021,1,2021-09-12,Sunday,13:00,SEA,IND,28,16,3.0,49.0,SEA,Under,closed,0,Lucas Oil Stadium
2021,1,2021-09-12,Sunday,13:00,ARI,TEN,38,13,-2.5,54.0,ARI,Under,outdoors,0,Nissan Stadium
2021,1,2021-09-12,Sunday,13:00,LAC,WAS,20,16,-2.5,45.5,LAC,Under,outdoors,0,FedExField
2021,1,2021-09-12,Sunday,16:25,CLE,KC,29,33,-5.5,54.5,CLE,Over,outdoors,0,GEHA Field at Arrowhead Stadium
2021,1,2021-09-12,Sunday,16:25,MIA,NE,17,16,-3.5,43.5,MIA,Under,outdoors,1,Gillette Stadium
2021,1,2021-09-12,Sunday,16:25,GB,NO,3,38,4.0,49.0,NO,Under,outdoors,0,TIAA Bank Stadium
2021,1,2021-09-12,Sunday,16:25,DEN,NYG,27,13,3.0,41.5,DEN,Under,outdoors,0,MetLife Stadium
2021,1,2021-09-12,Sunday,20:20,CHI,LA,14,34,-9.5,46.0,LA,Over,dome,0,SoFi Stadium
2021,1,2021-09-13,Monday,20:15,BAL,LV,27,33,3.0,50.5,LV,Over,dome,0,Allegiant Stadium
2021,2,2021-09-16,Thursday,20:20,NYG,WAS,29,30,-4.0,42.0,NYG,Over,outdoors,1,FedExField
2021,2,2021-09-19,Sunday,13:00,NO,CAR,7,26,3.0,45.0,CAR,Under,outdoors,1,Bank of America Stadium
2021,2,2021-09-19,Sunday,13:00,CIN,CHI,17,20,-2.0,44.5,CHI,Under,outdoors,0,Soldier Field
2021,2,2021-09-19,Sunday,13:00,HOU,CLE,21,31,-13.5,48.5,HOU,Over,outdoors,0,FirstEnergy Stadium
2021,2,2021-09-19,Sunday,13:00,LA,IND,27,24,4.0,48.0,IND,Over,closed,0,Lucas Oil Stadium
2021,2,2021-09-19,Sunday,13:00,DEN,JAX,23,13,6.0,45.0,DEN,Under,outdoors,0,TIAA Bank Stadium
2021,2,2021-09-19,Sunday,13:00,BUF,MIA,35,0,3.5,48.0,BUF,Under,outdoors,1,Hard Rock Stadium
2021,2,2021-09-19,Sunday,13:00,NE,NYJ,25,6,5.5,43.0,NE,Under,outdoors,1,MetLife Stadium
2021,2,2021-09-19,Sunday,13:00,SF,PHI,17,11,3.0,49.0,SF,Under,outdoors,0,Lincoln Financial Field
2021,2,2021-09-19,Sunday,13:00,LV,PIT,26,17,-5.5,46.5,LV,Under,outdoors,0,Heinz Field
2021,2,2021-09-19,Sunday,16:05,MIN,ARI,33,34,-4.0,51.0,MIN,Over,closed,0,State Farm Stadium
2021,2,2021-09-19,Sunday,16:05,ATL,TB,25,48,-13.5,52.0,TB,Over,outdoors,1,Raymond James Stadium
2021,2,2021-09-19,Sunday,16:25,DAL,LAC,20,17,-3.0,55.0,DAL,Under,dome,0,SoFi Stadium
2021,2,2021-09-19,Sunday,16:25,TEN,SEA,33,30,-6.5,53.5,TEN,Over,outdoors,0,Lumen Field
2021,2,2021-09-19,Sunday,20:20,KC,BAL,35,36,3.5,53.5,BAL,Over,outdoors,0,M&T Bank Stadium
2021,2,2021-09-20,Monday,20:15,DET,GB,17,35,-11.5,49.5,GB,Over,outdoors,1,Lambeau Field
2021,3,2021-09-23,Thursday,20:20,CAR,HOU,24,9,8.0,43.0,CAR,Under,closed,0,NRG Stadium
2021,3,2021-09-26,Sunday,13:00,WAS,BUF,21,43,-7.5,45.5,BUF,Over,outdoors,0,New Era Field
2021,3,2021-09-26,Sunday,13:00,CHI,CLE,6,26,-7.5,45.0,CLE,Under,outdoors,0,FirstEnergy Stadium
2021,3,2021-09-26,Sunday,13:00,BAL,DET,19,17,7.5,51.0,DET,Under,dome,0,Ford Field
2021,3,2021-09-26,Sunday,13:00,ARI,JAX,31,19,8.0,51.5,ARI,Under,outdoors,0,TIAA Bank Stadium
2021,3,2021-09-26,Sunday,13:00,LAC,KC,30,24,-6.5,55.0,LAC,Under,outdoors,1,GEHA Field at Arrowhead Stadium
2021,3,2021-09-26,Sunday,13:00,NO,NE,28,13,-3.0,44.0,NO,Under,outdoors,0,Gillette Stadium
2021,3,2021-09-26,Sunday,13:00,ATL,NYG,17,14,-3.0,48.0,ATL,Under,outdoors,0,MetLife Stadium
2021,3,2021-09-26,Sunday,13:00,CIN,PIT,24,10,-2.5,42.5,CIN,Under,outdoors,1,Heinz Field
2021,3,2021-09-26,Sunday,13:00,IND,TEN,16,25,-4.5,47.0,TEN,Under,outdoors,1,Nissan Stadium
